index,title
338,Log Horizon 2nd Season
339,Toaru Kagaku no Railgun
340,Shiki
341,Lovely★Complex
342,Hunter x Hunter
343,Nagi no Asu kara
344,Kaifuku Jutsushi no Yarinaoshi
345,Vampire Knight
346,Karakai Jouzu no Takagi-san
347,Spy x Family Season 2
348,Beelzebub
349,Given
350,Zetsuen no Tempest
351,Ajin
352,Gangsta.
353,SK∞
354,Isekai wa Smartphone to Tomo ni.
355,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru"
356,Dorohedoro
357,Overlord IV
358,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?
359,Vanitas no Karte
360,86 Part 2
361,Drifters
362,Kawaii dake ja Nai Shikimori-san
363,Darwin's Game
364,Gintama'
365,Kobayashi-san Chi no Maid Dragon S
366,Kiss x Sis (TV)
367,Tengoku Daimakyou
368,Kuroshitsuji II
369,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2"
370,Vivy: Fluorite Eye's Song
371,Gosick
372,Higashi no Eden
373,Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.
374,Katanagatari
375,Hajimete no Gal
376,Netoge no Yome wa Onnanoko ja Nai to Omotta?
377,Tsuki ga Kirei
378,Ore no Kanojo to Osananajimi ga Shuraba Sugiru
379,Absolute Duo
380,Katekyou Hitman Reborn!
381,Natsume Yuujinchou
382,Musaigen no Phantom World
383,Shokugeki no Souma: Gou no Sara
384,Lycoris Recoil
385,Dr. Stone: New World
386,God Eater
387,Fruits Basket 2nd Season
388,Black Lagoon: The Second Barrage
389,Fruits Basket
390,Takt Op. Destiny
391,Suzumiya Haruhi no Yuuutsu (2009)
392,Ichiban Ushiro no Daimaou
393,Shakugan no Shana
394,Boku wa Tomodachi ga Sukunai Next
395,Fairy Tail: Final Series
396,Citrus
397,Death March kara Hajimaru Isekai Kyousoukyoku
398,High School DxD Hero
399,Mairimashita! Iruma-kun
400,Hinamatsuri
401,Sousei no Onmyouji
402,Fruits Basket: The Final
403,Sora yori mo Tooi Basho
404,Mieruko-chan
405,Kimi ni Todoke 2nd Season
406,"Komi-san wa, Comyushou desu. 2nd Season"
407,Megalo Box
408,Yosuga no Sora
409,Re:Creators
410,Tsuki ga Michibiku Isekai Douchuu
411,Aldnoah.Zero
412,Yuru Camp△
413,Gleipnir
414,Dungeon Meshi
415,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2
416,Zombieland Saga
417,Zero no Tsukaima: Futatsuki no Kishi
418,Aho Girl
419,Kyokou Suiri
420,Inu x Boku SS
421,Asobi Asobase
422,Full Metal Panic!
423,Usagi Drop
424,Rurouni Kenshin: Meiji Kenkaku Romantan
425,Kono Subarashii Sekai ni Shukufuku wo! 3
426,Made in Abyss: Retsujitsu no Ougonkyou
427,Maoyuu Maou Yuusha
428,Mayo Chiki!
429,Uzaki-chan wa Asobitai!
430,Ookami to Koushinryou II
431,Hataraku Maou-sama!!
432,Seitokai Yakuindomo
433,Blue Period
434,Yamada-kun to Lv999 no Koi wo Suru
435,Higurashi no Naku Koro ni Kai
436,Tokyo Ravens
437,Magi: Sinbad no Bouken (TV)
438,Durarara!!x2 Shou
439,Chobits
440,Tanaka-kun wa Itsumo Kedaruge
441,Houseki no Kuni
442,Fate/Apocrypha
443,Tate no Yuusha no Nariagari Season 3
444,Owarimonogatari
445,Net-juu no Susume
446,Sora no Otoshimono
447,Hibike! Euphonium
